Date,Open,High,Low,Close,Adj Close,Volume
2014-01-23,430.500000,435.500000,430.500000,433.024994,397.821381,342378
2014-01-24,431.600006,437.250000,431.174988,433.500000,398.257690,449908
2014-01-27,428.350006,430.274994,420.049988,421.399994,387.141418,470810
2014-01-28,423.000000,427.500000,422.100006,422.899994,388.519470,331032
2014-01-29,425.500000,426.000000,417.549988,418.375000,384.362335,357444
2014-01-30,415.950012,417.100006,411.500000,412.850006,379.286499,468840
2014-01-31,414.500000,416.899994,413.549988,415.424988,381.652191,366168
2014-02-03,414.500000,414.700012,410.000000,410.649994,377.265350,265444
2014-02-04,407.500000,413.125000,406.625000,411.000000,377.586914,422302
2014-02-05,411.500000,411.500000,404.000000,408.075012,374.899689,583400
2014-02-06,410.075012,412.000000,404.500000,407.924988,374.761902,482688
2014-02-07,412.299988,412.299988,405.700012,407.149994,374.049896,459280
2014-02-10,408.000000,412.799988,405.950012,410.799988,377.403198,367738
2014-02-11,411.825012,412.125000,401.500000,402.750000,370.007629,582152
2014-02-12,403.500000,410.924988,403.500000,408.725006,375.496887,500448
2014-02-13,409.000000,409.375000,402.875000,403.725006,370.903351,317588
2014-02-14,405.174988,411.450012,404.500000,410.750000,377.357239,342322
2014-02-17,410.450012,411.075012,403.799988,405.725006,372.740784,348454
2014-02-18,404.850006,408.950012,404.500000,406.375000,373.337891,885410
2014-02-19,406.799988,409.975006,405.250000,406.274994,373.246063,271648
2014-02-20,405.500000,406.875000,401.700012,402.674988,369.938690,372990
